ants,evaporation_rate,time
1,0.05,188
1,0.1,190
1,0.15,191
1,0.2,196
1,0.25,190
1,0.3,191
1,0.35,190
1,0.4,190
1,0.45,190
1,0.5,188
1,0.55,233
1,0.6,233
1,0.65,230
1,0.7,229
1,0.75,227
1,0.8,224
1,0.85,219
1,0.9,208
1,0.95,193
1,1.0,194
2,0.05,131
2,0.1,128
2,0.15,127
2,0.2,128
2,0.25,126
2,0.3,127
2,0.35,127
2,0.4,127
2,0.45,127
2,0.5,127
2,0.55,147
2,0.6,145
2,0.65,145
2,0.7,143
2,0.75,141
2,0.8,138
2,0.85,132
2,0.9,129
2,0.95,129
2,1.0,129
3,0.05,106
3,0.1,106
3,0.15,106
3,0.2,106
3,0.25,106
3,0.3,107
3,0.35,106
3,0.4,106
3,0.45,106
3,0.5,106
3,0.55,118
3,0.6,119
3,0.65,115
3,0.7,114
3,0.75,112
3,0.8,109
3,0.85,108
3,0.9,108
3,0.95,108
3,1.0,108
4,0.05,95
4,0.1,96
4,0.15,95
4,0.2,96
4,0.25,96
4,0.3,95
4,0.35,96
4,0.4,96
4,0.45,96
4,0.5,96
4,0.55,104
4,0.6,102
4,0.65,101
4,0.7,100
4,0.75,101
4,0.8,100
4,0.85,100
4,0.9,100
4,0.95,100
4,1.0,100
5,0.05,85
5,0.1,85
5,0.15,85
5,0.2,85
5,0.25,85
5,0.3,85
5,0.35,85
5,0.4,85
5,0.45,85
5,0.5,86
5,0.55,90
5,0.6,89
5,0.65,88
5,0.7,87
5,0.75,87
5,0.8,86
5,0.85,87
5,0.9,86
5,0.95,86
5,1.0,87
10,0.05,73
10,0.1,73
10,0.15,74
10,0.2,74
10,0.25,74
10,0.3,74
10,0.35,74
10,0.4,74
10,0.45,75
10,0.5,74
10,0.55,74
10,0.6,74
10,0.65,74
10,0.7,75
10,0.75,76
10,0.8,76
10,0.85,76
10,0.9,75
10,0.95,76
10,1.0,76
15,0.05,69
15,0.1,70
15,0.15,70
15,0.2,70
15,0.25,70
15,0.3,70
15,0.35,70
15,0.4,70
15,0.45,70
15,0.5,70
15,0.55,70
15,0.6,70
15,0.65,70
15,0.7,70
15,0.75,70
15,0.8,70
15,0.85,70
15,0.9,70
15,0.95,71
15,1.0,71
20,0.05,67
20,0.1,67
20,0.15,68
20,0.2,68
20,0.25,67
20,0.3,67
20,0.35,68
20,0.4,68
20,0.45,68
20,0.5,67
20,0.55,67
20,0.6,68
20,0.65,68
20,0.7,68
20,0.75,68
20,0.8,68
20,0.85,68
20,0.9,68
20,0.95,69
20,1.0,69
25,0.05,66
25,0.1,66
25,0.15,66
25,0.2,66
25,0.25,66
25,0.3,66
25,0.35,66
25,0.4,66
25,0.45,67
25,0.5,66
25,0.55,66
25,0.6,66
25,0.65,66
25,0.7,66
25,0.75,67
25,0.8,67
25,0.85,67
25,0.9,67
25,0.95,68
25,1.0,68
30,0.05,65
30,0.1,66
30,0.15,65
30,0.2,66
30,0.25,65
30,0.3,65
30,0.35,65
30,0.4,66
30,0.45,65
30,0.5,66
30,0.55,66
30,0.6,66
30,0.65,66
30,0.7,66
30,0.75,66
30,0.8,66
30,0.85,66
30,0.9,67
30,0.95,67
30,1.0,67
35,0.05,65
35,0.1,65
35,0.15,65
35,0.2,65
35,0.25,65
35,0.3,65
35,0.35,65
35,0.4,65
35,0.45,65
35,0.5,65
35,0.55,65
35,0.6,65
35,0.65,65
35,0.7,65
35,0.75,65
35,0.8,66
35,0.85,66
35,0.9,66
35,0.95,67
35,1.0,67
40,0.05,64
40,0.1,64
40,0.15,64
40,0.2,64
40,0.25,65
40,0.3,64
40,0.35,64
40,0.4,64
40,0.45,64
40,0.5,64
40,0.55,64
40,0.6,64
40,0.65,65
40,0.7,65
40,0.75,65
40,0.8,65
40,0.85,65
40,0.9,65
40,0.95,66
40,1.0,66
45,0.05,64
45,0.1,64
45,0.15,64
45,0.2,64
45,0.25,64
45,0.3,64
45,0.35,64
45,0.4,64
45,0.45,64
45,0.5,64
45,0.55,65
45,0.6,64
45,0.65,65
