ants,evaporation_rate,best_fitness,average_fitness,std_dev_fitness
1,0.05,763,1937.5,941.7
1,0.1,802,2218.8,1084.5
1,0.15,745,1766.1,892.5
1,0.2,1512,3074.9,794.5
1,0.25,808,2088.7,745.9
1,0.3,776,2107.2,682.5
1,0.35,1393,2411.8,607.4
1,0.4,1040,1603.3,389.7
1,0.45,586,1939.5,755.9
1,0.5,953,1861.4,662.5
1,0.55,863,2119.0,893.2
1,0.6,755,1599.9,520.1
1,0.65,662,1356.5,652.7
1,0.7,580,1649.2,772.2
1,0.75,214,1167.8,587.7
1,0.8,246,926.7,456.2
1,0.85,184,557.6,267.7
1,0.9,135,465.6,256.9
1,0.95,77,218.5,126.1
1,1.0,1178,2103.8,645.9
2,0.05,201,1657.7,709.6
2,0.1,630,1706.7,855.8
2,0.15,379,1885.0,677.7
2,0.2,814,2465.2,1333.0
2,0.25,802,1714.0,669.9
2,0.3,943,1444.6,514.9
2,0.35,844,1286.3,477.8
2,0.4,296,1068.4,523.3
2,0.45,915,1427.9,548.7
2,0.5,549,1653.4,722.1
2,0.55,361,1350.2,762.3
2,0.6,466,941.5,471.3
2,0.65,299,1015.9,587.2
2,0.7,108,710.0,575.9
2,0.75,158,492.5,292.3
2,0.8,114,413.7,414.1
2,0.85,93,275.0,140.8
2,0.9,42,227.8,129.6
2,0.95,61,114.2,21.8
2,1.0,1176,2067.8,698.7
3,0.05,358,1194.1,521.3
3,0.1,398,1415.1,865.8
3,0.15,575,1189.8,417.3
3,0.2,255,1199.8,910.4
3,0.25,581,1207.7,639.1
3,0.3,551,1109.3,578.2
3,0.35,285,989.6,577.6
3,0.4,255,899.9,422.3
3,0.45,405,1289.6,627.9
3,0.5,95,664.8,367.4
3,0.55,174,500.3,351.1
3,0.6,189,633.6,437.4
3,0.65,153,430.9,241.3
3,0.7,155,440.4,242.0
3,0.75,86,222.1,133.0
3,0.8,81,223.0,97.8
3,0.85,49,162.7,84.5
3,0.9,35,128.3,114.2
3,0.95,29,77.9,24.4
3,1.0,1158,1571.4,345.9
4,0.05,245,1036.9,583.1
4,0.1,452,1441.3,931.8
4,0.15,609,1704.4,611.2
4,0.2,275,656.8,302.0
4,0.25,232,613.2,260.9
4,0.3,343,955.9,510.7
4,0.35,199,948.0,603.5
4,0.4,351,677.4,268.7
4,0.45,189,712.6,302.6
4,0.5,238,509.9,231.3
4,0.55,438,687.8,198.5
4,0.6,179,434.3,306.2
4,0.65,91,373.5,251.8
4,0.7,145,304.5,217.9
4,0.75,66,217.4,133.9
4,0.8,102,179.9,82.8
4,0.85,68,199.8,128.3
4,0.9,73,130.7,66.3
4,0.95,23,54.3,26.6
4,1.0,503,1492.2,690.6
5,0.05,697,1381.0,701.0
5,0.1,257,1135.0,696.8
5,0.15,230,1161.3,654.1
5,0.2,211,866.5,594.6
5,0.25,109,865.2,632.7
5,0.3,135,590.0,419.4
5,0.35,142,696.0,453.1
5,0.4,149,489.1,381.5
5,0.45,88,305.3,252.6
5,0.5,92,321.7,284.1
5,0.55,24,250.2,162.5
5,0.6,54,227.4,100.8
5,0.65,82,206.5,91.1
5,0.7,123,235.3,138.4
5,0.75,67,167.3,95.0
5,0.8,38,147.3,89.8
5,0.85,49,144.3,68.6
5,0.9,22,79.7,38.1
5,0.95,11,41.4,26.4
5,1.0,717,1621.6,501.2
10,0.05,157,432.3,316.1
10,0.1,104,249.2,121.5
10,0.15,164,527.5,324.3
10,0.2,119,273.4,192.4
10,0.25,73,266.5,160.3
10,0.3,49,298.4,232.1
10,0.35,55,236.6,146.4
10,0.4,66,186.6,93.2
10,0.45,83,217.2,114.3
10,0.5,49,137.7,59.7
