ants,current_memory,peak_memory
1,19.458039,19.460255
2,10.500776,10.507308
3,7.488416,7.49932
4,5.979888,5.995108
5,5.074308,5.093828
10,3.2804,3.321804
15,2.676812,2.739404
20,2.374288,2.458512
25,2.192792,2.298648
30,2.077184,2.20448
35,1.989016,2.137944
40,1.924408,2.094832
45,1.874856,2.067568
50,1.832504,2.047752
55,1.80364,2.042012
60,1.774656,2.035224
65,1.751956,2.035036
70,1.732164,2.037384
75,1.715936,2.043296
80,1.699632,2.049516
85,1.686872,2.058868
90,1.677368,2.071532
95,1.665096,2.081784
100,1.65488,2.093736
105,1.647352,2.108292
110,1.637844,2.121432
